,Tweets,Dates,Tweet without StopWords,Subjectivity,Polarity,Label
36," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
37," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
38, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
39,Today I spoke to Dr. Lorish Chief Executive for Providence in the Southern Oregon Service Area about their rollo… ,12/14/2020,today spoke dr. lorish chief executive providence southern oregon service area rollo…,0,0,Neutral
40,          @…,12/14/2020,@…,0,0,Neutral
41,Asking seniors to die again I see. ,12/14/2020,asking seniors die again see.,0,0,Neutral
42, It's been an emotional day BDD. I am glad the EC went without incident (so far). I am profoundly grate… ,12/14/2020,emotional day bdd. glad ec went without incident (so far). profoundly grate…,0.9125,0.170833333,Positive
43,Welp we passed 30000 but ayy we have the vaccine in some hospitals now,12/14/2020,welp passed 30000 ayy vaccine hospitals,0,0,Neutral
44," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
45,We'll be joining the Western Navajo Fair team tonight at 700 PM. TCRHCC's Dr. Calderon and Dr. Hu will be on LIVE… ,12/14/2020,we'll joining western navajo fair team tonight 700 pm. tcrhcc's dr. calderon dr. hu live…,0.45,0.35,Positive
46, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
47, i used to bite open glow sticks as a kid the covid-19 vaccine really doesn’t scare me..😂,12/14/2020,used bite open glow sticks kid covid-19 vaccine really doesn’t scare me..😂,0.35,0.1,Positive
48,"CBS News Trump administration pushing delay in nursing home vaccinations.


via ",12/14/2020,cbs news trump administration pushing delay nursing home vaccinations. via,0,0,Neutral
49, Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an informational f…,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts informational f…,0,0,Neutral
50,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
51," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
52, Please join us for a Tele-Town Hall on Thursday December 17 at 700 PM. We will provide an update on the County’s COVID…,12/14/2020,please join us tele-town hall thursday december 17 700 pm. provide update county’s covid…,0,0,Neutral
53, Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an informational f…,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts informational f…,0,0,Neutral
54, Please join us for a Tele-Town Hall on Thursday December 17 at 700 PM. We will provide an update on the County’s COVID…,12/14/2020,please join us tele-town hall thursday december 17 700 pm. provide update county’s covid…,0,0,Neutral
55,via  Business USNews NewYork APTopNews “Healing is coming“ US health workers start getting vacci… ,12/14/2020,via business usnews newyork aptopnews “healing coming“ us health workers start getting vacci…,0,0,Neutral
56,If you like the  album over 1200 you don’t gotta worry about what’s in the vaccine,12/14/2020,like album 1200 don’t gotta worry what’s vaccine,0,0,Neutral
57, Join us this Wednesday at 1200 pm for a Facebook LIVE answering your COVID-19 vaccine questions. Our CEO Jim Skogsberg…,12/14/2020,join us wednesday 1200 pm facebook live answering covid-19 vaccine questions. ceo jim skogsberg…,0.5,0.136363636,Positive
58," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
59,Join us this Wednesday at 1200 pm for a Facebook LIVE answering your COVID-19 vaccine questions. Our CEO Jim Skogs… ,12/14/2020,join us wednesday 1200 pm facebook live answering covid-19 vaccine questions. ceo jim skogs…,0.5,0.136363636,Positive
60," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
61,Trump administration pushing delay in nursing home vaccinations ,12/14/2020,trump administration pushing delay nursing home vaccinations,0,0,Neutral
62,Chick-fil-A should handle the vaccine distribution. Everyone in America would get it by 1000 pm tonight.,12/14/2020,chick-fil-a handle vaccine distribution. everyone america would get 1000 pm tonight.,0,0,Neutral
63, Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an informational f…,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts informational f…,0,0,Neutral
64, Why do we need a vaccine for a hoax? Why do we need a vaccine when just like a miracle it will go… ,12/14/2020,need vaccine hoax? need vaccine like miracle go…,0,0,Neutral
65, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
66, Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an informational f…,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts informational f…,0,0,Neutral
67,Tonight at 700 PM EST NEJM Editor-in-Chief Eric Rubin M.D. Ph.D. will be part of MMS' panel of experts in an i… ,12/14/2020,tonight 700 pm est nejm editor-in-chief eric rubin m.d. ph.d. part mms' panel experts i…,0,0,Neutral
68," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
69," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
70,Just last month Trump turned down purchasing more vaccine. Meanwhile his staff gets some of the 1st doses availab… ,12/14/2020,last month trump turned purchasing vaccine. meanwhile staff gets 1st doses availab…,0.285185185,0.114814815,Positive
71, “Convo w/ a Covid vaccine trial participant   a scientist ” with _data_kane and . Today Dec 14 at 200 PM PST on…,12/14/2020,“convo w/ covid vaccine trial participant scientist ” _data_kane . today dec 14 200 pm pst on…,0,0,Neutral
72," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
73,“Convo w/ a Covid vaccine trial participant   a scientist ” with _data_kane and . Today Dec 14 at 200 P… ,12/14/2020,“convo w/ covid vaccine trial participant scientist ” _data_kane . today dec 14 200 p…,0,0,Neutral
74,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
75," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
76,_cdh952 The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,_cdh952 trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
77,At 500 - Vaccine rollout began today and will increase dramatically over the coming weeks. Most of the vaccines ha… ,12/14/2020,500 - vaccine rollout began today increase dramatically coming weeks. vaccines ha…,0.5,0.5,Positive
78,At 500 - Vaccine rollout began today and will increase dramatically over the coming weeks. Most of the vaccines ha… ,12/14/2020,500 - vaccine rollout began today increase dramatically coming weeks. vaccines ha…,0.5,0.5,Positive
79,_cdh952 The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,_cdh952 trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
80,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
81, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
82, That’s it the first vaccine doses are in. ,12/14/2020,that’s it first vaccine doses in.,0.333333333,0.25,Positive
83, If you date men do not worry about what’s in the vaccine,12/14/2020,date men worry what’s vaccine,0,0,Neutral
84,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
85," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
86, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
87,"   Why? He had 0.00% to do with this vaccine. It was developed in Germany...

Scientists developed it.",12/14/2020,why? 0.00% vaccine. developed germany... scientists developed it.,0.3,0.1,Positive
88," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
89," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
90," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
91," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
92,The Trump administration turned down more vaccine doses 'as recently as November' former FDA commissioner says ,12/14/2020,trump administration turned vaccine doses 'as recently november' former fda commissioner says,0.259722222,0.086111111,Positive
93," ""You will get your vaccine when your Social Security Number is called.

000-00-0001?  000-00-0001 ple… ",12/14/2020,"""you get vaccine social security number called. 000-00-0001? 000-00-0001 ple…",0.066666667,0.033333333,Positive
94," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
95," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
96, President Trump is hosting State and local leaders from across the country and private sector partners for the Operation Wa…,12/14/2020,president trump hosting state local leaders across country private sector partners operation wa…,0.1875,0,Neutral
97," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
98,_data_kane I'm discussing “Convo w/ a Covid vaccine trial participant   a scientist ” with . Today Dec 14 at 500 PM EST on…,12/14/2020,_data_kane i'm discussing “convo w/ covid vaccine trial participant scientist ” . today dec 14 500 pm est on…,0,0,Neutral
99, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
100, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
101, On 2days show ~2700 u talk about verification to show inoculations. You can get vaccine records from th… ,12/14/2020,2days show ~2700 u talk verification show inoculations. get vaccine records th…,0,0,Neutral
102,_data_kane I'm discussing “Convo w/ a Covid vaccine trial participant   a scientist ” with . Today Dec 14 at 500 PM EST on…,12/14/2020,_data_kane i'm discussing “convo w/ covid vaccine trial participant scientist ” . today dec 14 500 pm est on…,0,0,Neutral
103," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
104," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
105,“Convo w/ a Covid vaccine trial participant   a scientist ” with _data_kane and . Today Dec 14 at 500 P… ,12/14/2020,“convo w/ covid vaccine trial participant scientist ” _data_kane . today dec 14 500 p…,0,0,Neutral
106,I'm discussing “Convo w/ a Covid vaccine trial participant   a scientist ” with . Today Dec 14 at 500 PM ES… ,12/14/2020,i'm discussing “convo w/ covid vaccine trial participant scientist ” . today dec 14 500 pm es…,0,0,Neutral
107, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
108," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
109, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
110, if you kiss your dog on the mouth don't worry about what's in the vaccine,12/14/2020,kiss dog mouth worry what's vaccine,0,0,Neutral
111," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
112," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
113," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
114,"_bill If Trump had been President in 1941 we'd be living in a real life ""Man in the High Castle"" right now.  The incompeten…",12/14/2020,"_bill trump president 1941 we'd living real life ""man high castle"" right now. incompeten…",0.458571429,0.215238095,Positive
115,"On the news at 8.00

🔴Public health officials warn people they face stark choices regarding their behaviour over Xm… ",12/14/2020,news 8.00 🔴public health officials warn people face stark choices regarding behaviour xm…,0.6,-0.2,Negative
116," Pharmacies will help roll out the coronavirus vaccine but one doctor warns of ""chaos"" ",12/14/2020,"pharmacies help roll coronavirus vaccine one doctor warns ""chaos""",0,0,Neutral
117, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
118," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
119," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
120, YOUR ONLY CONTRIBUTION WAS TO DOWNPLAY THE VIRUS AND HELPED SPREAD IT KILLING 28000+ PPL We owe t… ,12/14/2020,contribution downplay virus helped spread killing 28000+ ppl owe t…,1,0,Neutral
121,"If Trump had been President in 1941 we'd be living in a real life ""Man in the High Castle"" right now.  The incompe… ",12/14/2020,"trump president 1941 we'd living real life ""man high castle"" right now. incompe…",0.458571429,0.215238095,Positive
122, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
123," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
124," Time. to. grind.

(912) Recapping This Weekend
(3030) We Taking This Vaccine?
(3918) What You Watching First?
(523…",12/14/2020,time. to. grind. (912) recapping weekend (3030) taking vaccine? (3918) watching first? (523…,0.333333333,0.25,Positive
125," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
126, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
127," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
128," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
129," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
130," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
131, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
132," Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses 'as re…",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses 'as re…,0.657777778,-0.131111111,Negative
133,"Worst 'president' and most corrupt administration ever.... 
The Trump administration turned down more vaccine doses… ",12/14/2020,worst 'president' corrupt administration ever.... trump administration turned vaccine doses…,0.657777778,-0.131111111,Negative
134,"Why does trump and his co-conspirators hate senior citizens so much?

- trump administration pushing delay in nursi… ",12/14/2020,trump co-conspirators hate senior citizens much? - trump administration pushing delay nursi…,0.55,-0.3,Negative
135, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
136," ""I feel like healing is coming."" Sandra Lindsay a critical care nurse in NYC is the first person in New York to get a COVID-…",12/14/2020,"""i feel like healing coming."" sandra lindsay critical care nurse nyc first person new york get covid-…",0.529292929,0.128787879,Positive
137, with only just over 30 million in Canada we are only getting 90000 doses of the vaccine when the st… ,12/14/2020,30 million canada getting 90000 doses vaccine st…,1,0,Neutral
138, In Puerto Rico “Ashford Hospital announced today that they would administer today at 300 pm the first vaccine of the…,12/14/2020,puerto rico “ashford hospital announced today would administer today 300 pm first vaccine the…,0.333333333,0.25,Positive
139,COVID-19 Update The first doses of Pfizer’s COVID-19 vaccine are set to reach health-care facilities today!… ,12/14/2020,covid-19 update first doses pfizer’s covid-19 vaccine set reach health-care facilities today!…,0.333333333,0.25,Positive
140,  100.00 he gets a COVID vaccine before a front line doctor does,12/14/2020,100.00 gets covid vaccine front line doctor,0,0,Neutral
